Vehicle_Model,Maintenance_History,Reported_Issues,Vehicle_Age,Odometer_Reading,Days_Since_Last_Service,Last_Service_Date,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
Truck,Poor,4,8,19685,487.00,31-12-2023,2,3,16.3676973,New,Worn Out,Weak,1
Truck,Average,2,10,37758,609.00,31-08-2023,10,2,16.36985783,Good,Good,New,1
Truck,Poor,1,9,17963,672.00,29-06-2023,4,3,17.98124935,New,New,Good,0
Truck,Poor,1,9,134071,445.00,11-02-2024,3,3,13.50906245,Worn Out,New,Good,0
SUV,Average,1,4,130759,562.00,17-10-2023,9,1,12.10655606,New,Worn Out,Good,1
Truck,Good,3,3,133394,440.00,16-02-2024,9,2,13.3398306,New,Worn Out,New,1
Motorcycle,Good,5,9,10469,564.00,15-10-2023,2,2,13.18937865,New,New,Good,1
Motorcycle,Poor,4,9,111257,547.00,01-11-2023,6,3,10.89005681,New,Worn Out,Weak,1
Truck,Good,3,1,72926,620.00,20-08-2023,8,2,17.31056142,Good,New,Weak,1
Motorcycle,Good,2,3,131090,675.00,26-06-2023,7,0,10.35389868,Worn Out,Good,Weak,1
Motorcycle,Good,5,5,131324,582.00,27-09-2023,6,1,18.15882275,Good,New,Weak,1
Car,Average,2,2,107864,668.00,03-07-2023,6,0,19.53658872,New,Good,Good,0
Truck,Good,2,2,138481,487.00,31-12-2023,4,3,10.06108464,New,Worn Out,Good,1
Motorcycle,Good,0,3,79744,542.00,06-11-2023,9,0,13.94104147,New,Worn Out,New,1
Motorcycle,Good,4,2,60539,553.00,26-10-2023,4,0,12.018139,Good,Good,Good,1
Motorcycle,Good,1,2,113083,702.00,30-05-2023,10,1,19.24628989,Good,Good,Weak,1
Motorcycle,Average,2,9,88378,748.00,14-04-2023,1,0,11.45087195,New,Good,Weak,1
Van,Good,3,10,64185,686.00,15-06-2023,8,3,17.00122959,Good,Good,New,1
Bus,Average,1,10,127210,531.00,17-11-2023,7,0,15.67926324,New,Good,New,0
Bus,Average,4,10,133665,717.00,15-05-2023,10,3,16.34421539,Good,New,New,1
Motorcycle,Poor,5,9,128308,509.00,09-12-2023,10,3,12.51446605,Good,Good,New,1
Motorcycle,Poor,4,3,119681,601.00,08-09-2023,2,0,15.80084495,Good,New,New,1
Van,Average,1,1,95703,433.00,23-02-2024,10,3,13.41283425,New,Good,Good,1
Truck,Poor,5,8,122883,617.00,23-08-2023,8,0,11.89927125,Good,Good,Weak,1
Van,Poor,5,7,75190,583.00,26-09-2023,1,0,17.94613409,Worn Out,Worn Out,Weak,1
Van,Poor,5,4,141638,568.00,11-10-2023,8,2,15.87249628,New,New,New,1
Motorcycle,Poor,3,3,135675,434.00,22-02-2024,10,3,11.37386001,Worn Out,Worn Out,Weak,1
Car,Poor,3,1,129292,701.00,31-05-2023,3,3,16.36594836,Good,New,Weak,1
Car,Poor,4,1,15487,604.00,05-09-2023,1,2,12.7761474,Good,New,Good,1
Truck,Poor,5,6,30682,755.00,07-04-2023,9,2,13.77292618,New,Worn Out,Weak,1
SUV,Poor,5,5,62035,482.00,05-01-2024,8,0,17.35323406,New,Good,New,1
Motorcycle,Poor,4,6,97034,655.00,16-07-2023,8,1,18.95259682,Worn Out,Worn Out,Weak,1
Truck,Poor,4,5,127492,428.00,28-02-2024,7,0,13.99514701,Worn Out,Good,New,1
Truck,Average,5,4,80546,509.00,09-12-2023,5,1,11.10999527,Worn Out,Good,Weak,1
Van,Poor,2,4,75029,514.00,04-12-2023,2,0,15.75358034,Good,New,Good,1
Car,Good,5,3,101551,568.00,11-10-2023,3,2,18.15257224,Good,Good,Good,1
Van,Poor,4,7,62663,718.00,14-05-2023,8,3,15.98611791,Worn Out,Good,New,1
Van,Poor,4,6,129207,559.00,20-10-2023,4,1,16.87200043,Good,Worn Out,New,1
Truck,Poor,3,3,84805,570.00,09-10-2023,1,2,14.4652195,Good,New,New,1
Motorcycle,Average,0,4,135711,489.00,29-12-2023,7,2,15.96006398,Good,New,Good,0
Van,Good,3,9,13808,658.00,13-07-2023,6,0,11.57422891,New,New,New,0
Bus,Good,3,8,76189,435.00,21-02-2024,2,1,19.41521489,Worn Out,Worn Out,Weak,1
Van,Poor,2,4,59745,560.00,19-10-2023,5,0,19.26724364,Worn Out,Worn Out,Good,1
SUV,Poor,5,8,70919,750.00,12-04-2023,10,1,11.69225072,Worn Out,Worn Out,Good,1
Car,Poor,4,3,61001,444.00,12-02-2024,9,3,17.07211948,Worn Out,Good,New,1
Motorcycle,Poor,2,9,55707,633.00,07-08-2023,6,3,16.00716986,Good,New,Weak,1
Van,Average,0,3,115557,493.00,25-12-2023,4,2,19.57604581,Good,Good,Weak,1
Van,Average,2,10,127037,557.00,22-10-2023,10,1,17.83017581,Good,Good,Weak,1
Truck,Poor,5,2,59857,645.00,26-07-2023,6,2,15.75891889,New,New,New,1
Bus,Average,1,6,17543,462.00,25-01-2024,8,2,15.69924494,Worn Out,New,New,1
Motorcycle,Poor,2,8,42837,518.00,30-11-2023,1,2,12.95565235,Good,New,Good,1
SUV,Good,3,2,138062,681.00,20-06-2023,1,1,16.36493068,Worn Out,New,Weak,1
Van,Good,3,10,74876,492.00,26-12-2023,1,3,16.29241727,Good,Worn Out,New,1
Motorcycle,Good,2,7,31551,479.00,08-01-2024,5,1,10.76768497,New,Worn Out,New,1
Truck,Good,2,9,29134,438.00,18-02-2024,7,0,14.75172259,Worn Out,Worn Out,Good,1
Truck,Good,5,6,130093,506.00,12-12-2023,2,3,12.46221071,New,Worn Out,New,1
Motorcycle,Poor,0,3,76175,545.00,03-11-2023,6,0,13.06777929,New,New,Weak,1
SUV,Good,0,1,3073,461.00,26-01-2024,5,0,11.71089711,New,Good,New,0
Motorcycle,Good,5,10,90079,619.00,21-08-2023,1,1,17.49378873,Worn Out,New,Weak,1
Car,Poor,0,5,25259,727.00,05-05-2023,10,3,16.09511449,Good,Worn Out,New,1
Motorcycle,Good,0,1,35299,710.00,22-05-2023,4,2,10.89489096,Worn Out,Good,Weak,1
Van,Average,4,10,145679,761.00,01-04-2023,1,2,19.21368016,New,New,Good,1
Car,Poor,5,9,9054,560.00,19-10-2023,9,1,18.04092205,Good,Worn Out,New,1
Car,Average,0,4,45994,524.00,24-11-2023,3,2,14.29670267,New,New,New,0
Van,Good,5,8,29547,612.00,28-08-2023,1,3,15.39548559,New,New,New,1
Car,Good,0,7,122153,686.00,15-06-2023,1,3,11.05103022,Good,Worn Out,Weak,1
Car,Good,0,5,31315,704.00,28-05-2023,5,2,18.50074479,New,Good,New,0
Van,Good,0,7,23865,596.00,13-09-2023,2,2,18.2975835,New,New,Weak,1
Motorcycle,Average,4,7,38684,579.00,30-09-2023,6,1,13.57580582,Good,Good,Weak,1
Motorcycle,Average,0,9,121122,646.00,25-07-2023,9,3,15.62458257,Worn Out,Worn Out,Good,1
Bus,Poor,3,5,56231,696.00,05-06-2023,9,1,15.6069447,Worn Out,Worn Out,New,1
Van,Good,5,4,50472,470.00,17-01-2024,10,1,18.9703131,Good,Worn Out,Good,1
Motorcycle,Good,5,5,86279,434.00,22-02-2024,5,2,19.51040896,New,Good,New,1
Car,Poor,1,9,12824,515.00,03-12-2023,8,3,14.20390981,Worn Out,New,New,1
Bus,Poor,5,9,71520,720.00,12-05-2023,4,2,14.78070381,New,Good,New,1
Bus,Average,0,10,91664,719.00,13-05-2023,8,2,16.76875122,New,New,Weak,1
Truck,Average,3,4,34131,708.00,24-05-2023,1,0,11.94027019,Good,New,New,1
Motorcycle,Good,0,5,88644,757.00,05-04-2023,1,1,19.07624331,New,New,New,0
Van,Average,4,5,146131,732.00,30-04-2023,6,0,16.89300595,New,Good,Weak,1
Motorcycle,Average,3,9,55962,745.00,17-04-2023,9,2,15.07604498,Good,Worn Out,New,1
Van,Poor,4,8,10882,618.00,22-08-2023,7,3,10.48024961,New,Worn Out,Good,1
Van,Good,2,6,133705,453.00,03-02-2024,1,3,13.00780606,New,Worn Out,Weak,1
SUV,Good,4,1,134871,523.00,25-11-2023,4,1,18.28136077,Good,New,Weak,1
Car,Average,2,10,36035,543.00,05-11-2023,4,3,14.00890952,New,Good,Good,0
Car,Poor,4,9,68697,466.00,21-01-2024,7,3,14.4008156,Good,New,Weak,1
Van,Good,0,1,56062,669.00,02-07-2023,3,0,10.83736297,Worn Out,New,Good,0
SUV,Average,4,6,60898,747.00,15-04-2023,9,1,14.67771771,Good,New,New,1
Truck,Poor,4,1,18438,434.00,22-02-2024,6,0,18.22658984,Good,New,New,1
Motorcycle,Average,2,1,146581,710.00,22-05-2023,7,0,15.13607714,Good,New,New,0
SUV,Average,3,9,28715,558.00,21-10-2023,8,1,19.14749224,Good,New,Weak,1
Bus,Poor,4,2,2514,754.00,08-04-2023,1,0,11.85309816,Worn Out,Worn Out,Good,1
Car,Poor,0,9,74852,662.00,09-07-2023,5,1,15.28847173,Good,Good,Good,0
Truck,Good,5,8,149899,722.00,10-05-2023,9,0,18.50856269,Worn Out,New,New,1
Bus,Good,1,3,100130,669.00,02-07-2023,5,3,11.1353155,Worn Out,Good,Good,0
Car,Poor,5,3,126785,444.00,12-02-2024,3,1,15.43661305,New,Good,New,1
Van,Average,5,8,95998,573.00,06-10-2023,10,1,16.33386785,Good,Worn Out,Good,1
Truck,Average,0,4,30505,698.00,03-06-2023,2,1,11.58273673,New,New,Weak,1
Van,Poor,2,6,42473,606.00,03-09-2023,3,1,12.04829249,Worn Out,Worn Out,Weak,1
Truck,Poor,4,2,17969,541.00,07-11-2023,10,3,11.79798789,New,New,Weak,1
Van,Poor,1,3,95599,472.00,15-01-2024,3,3,10.33603947,New,Worn Out,Weak,1
Car,Poor,1,10,49788,703.00,29-05-2023,8,1,10.15352987,Worn Out,New,Good,0
SUV,Good,0,9,95175,536.00,12-11-2023,4,3,14.2536901,Good,Good,New,0
Van,Good,4,3,14634,602.00,07-09-2023,3,3,12.78337855,Worn Out,Worn Out,New,1
SUV,Good,0,1,34537,692.00,09-06-2023,6,1,19.50256841,New,Good,Good,0
SUV,Good,2,9,116506,673.00,28-06-2023,5,0,14.90901955,Good,Good,New,0
Car,Good,5,9,7201,618.00,22-08-2023,2,1,19.56727018,Good,New,Weak,1
SUV,Poor,1,4,143722,589.00,20-09-2023,6,0,17.26720465,New,Worn Out,Weak,1
Van,Poor,3,1,15327,634.00,06-08-2023,9,2,12.94298876,Good,Good,New,1
Car,Poor,5,9,53660,661.00,10-07-2023,8,1,18.77187052,Worn Out,Worn Out,Weak,1
Bus,Poor,0,5,112579,595.00,14-09-2023,9,2,16.921094,Good,Good,Good,1
SUV,Poor,5,1,123366,569.00,10-10-2023,10,1,13.89977218,Good,Worn Out,Weak,1
Van,Average,0,5,113834,563.00,16-10-2023,8,0,11.61964473,Worn Out,New,Weak,1
Car,Average,5,2,69622,759.00,03-04-2023,8,3,13.35529027,Worn Out,Good,Weak,1
Motorcycle,Poor,5,5,114101,619.00,21-08-2023,7,1,13.37841235,New,Worn Out,New,1
Bus,Poor,3,9,98733,618.00,22-08-2023,4,2,12.96469802,Worn Out,New,Weak,1
Truck,Poor,2,1,58024,751.00,11-04-2023,7,3,15.99682466,New,Good,Weak,1
Motorcycle,Good,2,8,98842,467.00,20-01-2024,9,3,12.09881671,Good,Worn Out,Weak,1
SUV,Average,2,5,42721,474.00,13-01-2024,7,0,17.59173126,Worn Out,Good,Good,0
SUV,Average,0,3,145079,511.00,07-12-2023,2,1,14.33661455,New,Good,Weak,1
Bus,Good,1,6,118666,441.00,15-02-2024,2,0,14.85946698,Good,Good,Good,0
SUV,Average,1,9,8602,444.00,12-02-2024,9,2,15.66278813,Worn Out,New,Weak,1
Truck,Average,5,7,120218,564.00,15-10-2023,10,3,17.44544976,Worn Out,Good,New,1
Van,Average,3,6,139702,598.00,11-09-2023,8,2,12.26119383,Worn Out,New,Weak,1
Car,Poor,3,6,46685,527.00,21-11-2023,2,3,10.657794,New,Worn Out,Weak,1
Bus,Poor,1,10,99401,548.00,31-10-2023,9,2,15.34112654,Worn Out,Worn Out,New,1
Motorcycle,Average,4,1,123039,463.00,24-01-2024,10,3,15.09247957,New,Worn Out,Weak,1
Truck,Poor,1,5,35120,676.00,25-06-2023,8,3,13.06811245,New,Good,Weak,1
Motorcycle,Poor,5,5,40997,448.00,08-02-2024,2,2,16.29770399,New,New,Weak,1
Van,Average,4,6,114921,567.00,12-10-2023,7,0,19.26615996,Worn Out,New,Weak,1
SUV,Good,0,6,111595,612.00,28-08-2023,6,1,18.33459452,Good,New,Weak,1
Truck,Average,0,8,85667,450.00,06-02-2024,3,2,15.02839675,New,Worn Out,Weak,1
Truck,Average,1,10,53621,578.00,01-10-2023,6,2,10.35284006,Good,Worn Out,Weak,1
Bus,Poor,1,9,56365,474.00,13-01-2024,5,2,12.78029994,Good,Good,Weak,1
Van,Average,4,2,48752,695.00,06-06-2023,1,2,17.20891973,Worn Out,Good,Weak,1
SUV,Good,1,8,5738,553.00,26-10-2023,7,0,13.52863606,New,New,New,0
Motorcycle,Average,3,8,148958,549.00,30-10-2023,2,0,12.74973396,Worn Out,Worn Out,Weak,1
Car,Poor,1,10,94775,598.00,11-09-2023,4,1,19.49306721,Good,Worn Out,Good,1
SUV,Average,3,10,25358,644.00,27-07-2023,10,2,19.54663499,New,New,New,1
Van,Poor,2,2,8367,596.00,13-09-2023,1,2,11.88097642,Worn Out,New,Weak,1
Truck,Good,0,7,117210,494.00,24-12-2023,9,3,15.36555823,Good,Good,New,1
SUV,Average,0,8,134211,725.00,07-05-2023,7,1,13.11660508,Good,Good,New,0
Car,Poor,4,10,42050,470.00,17-01-2024,5,0,15.97813398,Worn Out,Worn Out,Weak,1
Motorcycle,Average,2,2,126239,560.00,19-10-2023,6,3,12.11790146,Good,New,New,0
SUV,Good,3,1,78181,623.00,17-08-2023,1,3,13.98283661,Worn Out,Good,New,0
Bus,Good,4,6,39924,525.00,23-11-2023,9,3,15.66001145,Worn Out,New,Good,1
Truck,Good,1,5,14696,697.00,04-06-2023,5,0,13.44818788,New,Worn Out,Weak,1
Car,Poor,2,8,52922,496.00,22-12-2023,3,1,14.10036691,Good,New,Weak,1
Motorcycle,Poor,1,4,35982,538.00,10-11-2023,5,2,18.19760036,Good,New,Weak,1
Bus,Good,2,8,120685,696.00,05-06-2023,7,0,12.58881088,Good,New,New,0
Truck,Poor,2,5,77785,658.00,13-07-2023,8,2,15.25750554,Good,New,Good,1
Car,Average,3,4,23478,584.00,25-09-2023,8,0,12.03439796,New,Good,New,1
Bus,Average,2,4,128427,696.00,05-06-2023,7,3,17.08857072,Good,Good,New,0
Truck,Average,0,9,126401,531.00,17-11-2023,4,0,18.75021249,New,Good,Weak,1
Motorcycle,Poor,1,1,40455,566.00,13-10-2023,10,3,10.91380141,Good,New,Good,1
Bus,Poor,4,2,122659,494.00,24-12-2023,10,0,14.21772739,Good,Good,New,1
Bus,Good,5,5,82783,508.00,10-12-2023,10,3,12.96154592,Good,Worn Out,New,1
SUV,Poor,2,10,20177,475.00,12-01-2024,4,2,15.11911545,Good,Worn Out,New,1
Bus,Good,5,1,33537,624.00,16-08-2023,6,1,19.45552464,Good,New,Good,1
Bus,Good,3,10,67069,428.00,28-02-2024,3,3,18.26477286,New,Worn Out,New,1
SUV,Average,0,3,4716,433.00,23-02-2024,2,1,11.86420229,Worn Out,Good,Good,0
Truck,Good,2,1,61391,754.00,08-04-2023,10,2,15.84615194,Worn Out,Worn Out,Good,1
Truck,Good,0,8,94966,488.00,30-12-2023,10,3,11.63570675,Good,Worn Out,New,1
Bus,Good,5,1,128852,682.00,19-06-2023,8,1,12.78474985,New,Worn Out,Weak,1
SUV,Poor,3,9,9898,502.00,16-12-2023,8,2,17.33342642,Good,New,Good,1
Car,Good,0,3,39116,575.00,04-10-2023,4,1,19.26290992,Worn Out,Good,Good,0
SUV,Poor,5,5,136246,714.00,18-05-2023,4,1,17.49669548,New,Worn Out,New,1
Truck,Average,5,8,12970,729.00,03-05-2023,1,0,19.5557918,Worn Out,Worn Out,New,1
Car,Good,4,2,132715,736.00,26-04-2023,4,2,17.70408762,New,Good,Weak,1
SUV,Poor,4,7,83080,568.00,11-10-2023,9,1,13.19515721,New,Good,Weak,1
Van,Poor,0,4,61722,736.00,26-04-2023,9,0,11.27309314,New,Worn Out,New,1
Car,Good,5,8,8243,647.00,24-07-2023,6,1,14.33832038,Worn Out,Worn Out,New,1
SUV,Poor,0,2,17610,520.00,28-11-2023,4,0,12.36743662,New,Worn Out,New,1
Motorcycle,Poor,1,9,56578,456.00,31-01-2024,5,3,15.19369215,Good,Good,Weak,1
Bus,Good,0,8,109582,430.00,26-02-2024,7,1,16.46894545,New,Good,New,0
Bus,Good,2,3,10601,453.00,03-02-2024,6,3,17.82206832,Good,Good,Weak,1
Van,Average,1,6,1617,491.00,27-12-2023,6,2,17.11924543,Good,Worn Out,Weak,1
Bus,Good,3,4,67205,651.00,20-07-2023,8,1,10.51628613,Worn Out,Good,New,0
SUV,Poor,2,1,35780,665.00,06-07-2023,10,0,10.09863401,Good,Good,New,1
Motorcycle,Poor,0,6,18764,758.00,04-04-2023,9,3,10.94467162,New,Worn Out,New,1
SUV,Average,2,2,23591,669.00,02-07-2023,9,2,10.83300952,New,Good,Weak,1
Car,Poor,5,4,52655,700.00,01-06-2023,9,1,14.53633257,New,Good,Weak,1
Bus,Average,3,1,1410,758.00,04-04-2023,4,0,16.62808928,New,New,Good,1
Truck,Poor,4,10,66780,670.00,01-07-2023,5,3,18.37114081,Good,Worn Out,New,1
Van,Poor,4,10,59337,464.00,23-01-2024,9,2,10.8434823,Good,Worn Out,Weak,1
Bus,Good,4,3,47725,585.00,24-09-2023,9,2,17.2814051,Good,New,Good,1
Car,Average,2,2,93995,573.00,06-10-2023,1,1,18.65736401,Good,New,Good,0
Truck,Good,2,6,148313,560.00,19-10-2023,4,0,11.940936,New,Worn Out,Good,1
Bus,Good,5,10,64298,536.00,12-11-2023,2,1,10.25066179,Good,New,Weak,1
Bus,Average,0,8,89395,433.00,23-02-2024,2,1,19.27159744,Worn Out,Worn Out,Weak,1
Car,Poor,4,2,133401,613.00,27-08-2023,8,3,13.51139582,Good,Good,Weak,1
Bus,Poor,3,3,11317,675.00,26-06-2023,8,2,12.9484263,Good,Worn Out,Weak,1
Motorcycle,Average,3,6,105737,617.00,23-08-2023,9,3,19.879914,Worn Out,New,Weak,1
Van,Poor,0,2,100179,447.00,09-02-2024,4,1,10.20380729,New,Good,New,0
SUV,Poor,2,9,47382,567.00,12-10-2023,6,1,16.48258966,Good,Worn Out,New,1
Van,Good,4,8,12787,575.00,04-10-2023,5,3,14.32587799,Worn Out,New,Good,1
Motorcycle,Good,0,6,33570,460.00,27-01-2024,5,2,18.14839934,New,Good,New,0
Car,Good,0,4,64052,728.00,04-05-2023,4,0,17.56586804,New,Good,New,0
Van,Good,1,2,79553,533.00,15-11-2023,3,3,12.76199152,New,New,Good,0
Motorcycle,Poor,0,6,22521,512.00,06-12-2023,3,3,10.43762617,New,Good,Weak,1
Motorcycle,Poor,0,9,121836,502.00,16-12-2023,2,2,15.11671258,New,Good,New,0
Motorcycle,Good,4,9,100219,738.00,24-04-2023,7,3,10.79391174,Good,New,Good,1
Motorcycle,Average,2,1,40759,460.00,27-01-2024,1,0,14.16954082,Worn Out,Worn Out,New,1
Motorcycle,Good,0,1,72696,441.00,15-02-2024,10,3,16.20202263,Good,Worn Out,New,1
Truck,Good,1,5,97041,719.00,13-05-2023,1,3,16.76571544,Worn Out,New,Good,0
Motorcycle,Average,1,9,13912,445.00,11-02-2024,8,0,10.91150681,Worn Out,Good,Weak,1
Truck,Good,5,8,54261,624.00,16-08-2023,9,2,14.60103136,Good,New,Weak,1
Motorcycle,Poor,1,1,129323,658.00,13-07-2023,10,2,17.1716906,Worn Out,Worn Out,Weak,1
Bus,Poor,4,6,125139,635.00,05-08-2023,2,2,14.08683357,Good,Good,Weak,1
SUV,Poor,2,8,89565,604.00,05-09-2023,3,3,15.43528724,Worn Out,Worn Out,Good,1
Bus,Average,4,1,85329,719.00,13-05-2023,10,1,12.35959136,Good,Worn Out,Good,1
Motorcycle,Good,0,3,97142,462.00,25-01-2024,8,1,19.76051383,Worn Out,New,Good,0
Truck,Good,2,4,9017,508.00,10-12-2023,3,0,10.57269315,Worn Out,Worn Out,Weak,1
Motorcycle,Average,5,8,9095,637.00,03-08-2023,7,0,11.56520113,Good,Worn Out,New,1
Car,Good,5,8,86626,579.00,30-09-2023,9,3,16.55747237,Good,New,Good,1
SUV,Average,4,9,9031,664.00,07-07-2023,10,2,14.24374461,Good,Good,Good,1
Car,Good,1,10,30031,718.00,14-05-2023,7,3,14.28738866,Worn Out,New,Good,0
SUV,Good,0,2,133428,542.00,06-11-2023,5,2,19.12474004,Good,Good,New,0
SUV,Average,1,9,109720,671.00,30-06-2023,10,0,13.42387049,New,Worn Out,New,1
Car,Good,1,2,115570,589.00,20-09-2023,5,1,14.66262767,New,Worn Out,New,1
Truck,Poor,2,7,104602,709.00,23-05-2023,8,0,16.03986136,New,Good,Good,1
Car,Good,5,5,123359,454.00,02-02-2024,8,0,19.87597137,New,Good,Good,1
Car,Good,0,9,77846,491.00,27-12-2023,7,0,16.41209031,New,Worn Out,New,1
Truck,Poor,1,3,137606,697.00,04-06-2023,5,2,15.72393928,New,New,Weak,1
Bus,Average,2,3,53759,492.00,26-12-2023,8,1,11.57043976,New,New,New,0
Motorcycle,Average,1,3,73148,476.00,11-01-2024,9,2,12.76420817,Worn Out,New,Weak,1
Bus,Poor,3,5,113304,514.00,04-12-2023,3,2,16.27997614,New,Worn Out,Weak,1
Van,Good,1,7,88534,708.00,24-05-2023,5,1,17.96798083,Good,New,New,0
Bus,Average,5,7,103753,562.00,17-10-2023,6,0,15.8746099,Worn Out,Worn Out,Good,1
Bus,Poor,0,7,98860,654.00,17-07-2023,6,0,11.11241867,Worn Out,Worn Out,New,1
Bus,Average,2,7,79783,448.00,08-02-2024,3,0,15.2374272,Good,Worn Out,Good,1
Truck,Average,2,4,122056,514.00,04-12-2023,10,2,19.90166184,Good,Good,Good,1
Van,Poor,0,7,57238,667.00,04-07-2023,8,3,15.18649838,Good,Worn Out,Good,1
Car,Poor,3,6,7462,637.00,03-08-2023,4,2,14.08682508,Good,Worn Out,New,1
Car,Poor,3,1,109908,488.00,30-12-2023,8,3,17.8503567,Worn Out,New,New,1
Bus,Poor,2,8,44886,528.00,20-11-2023,8,3,10.53724692,Worn Out,New,New,1
Van,Good,5,4,13172,664.00,07-07-2023,9,3,16.0642904,Good,Worn Out,New,1
Truck,Poor,0,6,141831,574.00,05-10-2023,3,2,11.86595924,Good,Good,Good,0
Car,Average,5,10,97870,753.00,09-04-2023,2,3,10.96042603,Good,New,Weak,1
SUV,Average,0,2,22602,533.00,15-11-2023,5,1,15.91555434,New,New,New,0
Bus,Average,1,6,71966,453.00,03-02-2024,5,1,18.63992341,New,Worn Out,Good,1
Car,Average,5,4,119314,428.00,28-02-2024,2,0,13.66947793,Good,Worn Out,Good,1
Bus,Poor,4,6,107408,565.00,14-10-2023,5,0,10.76152758,Good,Worn Out,New,1
Bus,Average,1,5,135903,723.00,09-05-2023,4,3,15.34504709,New,New,Weak,1
Truck,Average,1,3,91765,636.00,04-08-2023,9,2,10.43117918,Worn Out,New,New,1
SUV,Good,4,5,117296,633.00,07-08-2023,3,2,18.2898525,Good,New,Good,1
Truck,Good,0,10,139404,450.00,06-02-2024,3,3,13.40452584,New,Worn Out,New,1
Truck,Good,0,6,88134,576.00,03-10-2023,6,3,18.80973082,Good,Good,Weak,1
SUV,Poor,1,9,67024,522.00,26-11-2023,8,2,11.9781099,Good,Worn Out,New,1
Truck,Good,3,7,118631,705.00,27-05-2023,10,2,18.12572652,Worn Out,Worn Out,Weak,1
Van,Poor,4,4,13534,605.00,04-09-2023,3,1,16.43973322,Worn Out,Worn Out,Weak,1
SUV,Good,5,6,35759,745.00,17-04-2023,10,0,17.97558608,Good,Worn Out,New,1
Truck,Average,3,3,90229,649.00,22-07-2023,5,0,12.40984105,New,New,Weak,1
